idx,smiles,Lipo,group,img_path
0.0,NC(=O)c1cccc(C[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,-0.8948134244280986,train,../data/images/Lipo/0.png
1.0,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1cc(=O)[nH]c2ccccc12,1.075489881266751,train,../data/images/Lipo/1.png
2.0,CNC1=Nc2ncccc2C(c2cccs2)=NC1c1cccs1,0.3688410163550961,train,../data/images/Lipo/2.png
3.0,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,-0.5290187178855948,train,../data/images/Lipo/3.png
4.0,CNC(=O)c1cc(C(=O)c2ccc(Cl)cc2)c(Br)[nH]1,0.7595762710709525,train,../data/images/Lipo/4.png
5.0,Cc1cc(NC(=O)c2nnc(Nc3ccccc3F)o2)ccc1N1CCOCC1,1.5077927162715283,train,../data/images/Lipo/5.png
6.0,C[C@H]([C@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,-1.061083745583782,train,../data/images/Lipo/6.png
7.0,Cn1c(SCc2c(Cl)cccc2Cl)nnc1-c1ccc2nonc2c1,0.967414172515557,train,../data/images/Lipo/7.png
8.0,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(F)cc2[nH]cnc12,-1.5765217411664012,train,../data/images/Lipo/8.png
9.0,NC(=O)c1ccc(=O)n(Cc2ccc(F)c(F)c2)c1,-0.67866200692571,train,../data/images/Lipo/9.png
10.0,O=C1C(=O)c2cc(-c3ccsc3)ccc2-c2ccccc21,0.7595762710709525,train,../data/images/Lipo/10.png
11.0,O=C(O)c1ccc(-c2nnn(Cc3ccccc3F)n2)cc1,-1.568208225108617,train,../data/images/Lipo/11.png
12.0,Cc1cn([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O,-2.274857090020272,train,../data/images/Lipo/12.png
13.0,c1ccc(CC2NCCc3ccccc32)cc1,-0.24635917192093298,train,../data/images/Lipo/13.png
14.0,N#Cc1ccccc1COc1cc(OCCCN2CCCC2)ccc1C(=O)Nc1cccc(O)c1,0.1277490506793549,train,../data/images/Lipo/14.png
15.0,CC(C)(C)OC(=O)N1CCC(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1,0.510170789337427,train,../data/images/Lipo/15.png
16.0,O=c1[nH]c(-c2ccccc2)nc2cc(Cl)ccc12,0.9341601082844202,train,../data/images/Lipo/16.png
17.0,OC[C@H]1C[C@@H](n2nnc3c(N[C@@H]4C[C@H]4c4ccc(F)c(F)c4)nc(SCCC(F)(F)F)nc32)[C@H](O)[C@@H]1O,1.4994792002137443,train,../data/images/Lipo/17.png
18.0,COCCC(=O)N[C@@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.7180086907820314,train,../data/images/Lipo/18.png
19.0,CC(=O)Nc1ccc(O)cc1,-1.609775805397538,train,../data/images/Lipo/19.png
20.0,Cc1ccccc1C(=O)NCC12CC3CC(CC(C3)C1)C2,1.7405711658894856,train,../data/images/Lipo/20.png
21.0,Cc1ccc(-c2ccc(F)cc2COc2ccc(CCC(=O)O)cc2)cc1,0.8759654958799311,train,../data/images/Lipo/21.png
22.0,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCCCC3)cc(N3CCOCC3)c2)n1,1.674063037427212,train,../data/images/Lipo/22.png
23.0,O=C(c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1)N1CCOCC1,-0.05514830259189676,train,../data/images/Lipo/23.png
