idx,smiles,Tox21,group,img_path
0.0,CCCCCCCCCCCCCCCCC(=O)O,0.0,train,../data/images/Tox21/0.png
1.0,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,0.0,train,../data/images/Tox21/1.png
2.0,COC(=O)C(C)O,0.0,train,../data/images/Tox21/2.png
3.0,COC(C)(C)CCCC(C)C/C=C/C(C)=C/C(=O)OC(C)C,0.0,train,../data/images/Tox21/3.png
4.0,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,1.0,train,../data/images/Tox21/4.png
5.0,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,0.0,train,../data/images/Tox21/5.png
6.0,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2c3cccc(CCCC(=O)[O-])c3O[C@H]2C[C@H]1O,0.0,train,../data/images/Tox21/6.png
7.0,C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.0,train,../data/images/Tox21/7.png
8.0,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,0.0,train,../data/images/Tox21/8.png
9.0,CC(C)CCCCCOC(=O)CCS,0.0,train,../data/images/Tox21/9.png
10.0,Cc1ncsc1CCO,0.0,train,../data/images/Tox21/10.png
11.0,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,1.0,train,../data/images/Tox21/11.png
12.0,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21,0.0,train,../data/images/Tox21/12.png
13.0,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@H]2O,0.0,train,../data/images/Tox21/13.png
14.0,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,0.0,train,../data/images/Tox21/14.png
15.0,CC1C=[C-]C=C1,0.0,train,../data/images/Tox21/15.png
16.0,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,1.0,train,../data/images/Tox21/16.png
17.0,CCOC(=O)CC(=O)c1ccccc1,0.0,train,../data/images/Tox21/17.png
18.0,CCC/C=C/C=O,0.0,train,../data/images/Tox21/18.png
19.0,C[C@H]1CNCCc2ccc(Cl)cc21,0.0,train,../data/images/Tox21/19.png
20.0,O=S(=O)([O-])c1cccc2ccccc12,0.0,train,../data/images/Tox21/20.png
21.0,CC(C)NCC(O)c1ccc2ccccc2c1,0.0,train,../data/images/Tox21/21.png
22.0,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,0.0,train,../data/images/Tox21/22.png
23.0,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.0,train,../data/images/Tox21/23.png
24.0,CCCCNCCCC,0.0,train,../data/images/Tox21/24.png
25.0,CCCCCCCCCOC(C)=O,0.0,train,../data/images/Tox21/25.png
26.0,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,0.0,train,../data/images/Tox21/26.png
27.0,CC(C)CON=O,0.0,train,../data/images/Tox21/27.png
28.0,C=C(C)C(=O)OCCOC(=O)CC(C)=O,0.0,train,../data/images/Tox21/28.png
29.0,CCCCCCCCCC(C)C=O,0.0,train,../data/images/Tox21/29.png
30.0,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,0.0,train,../data/images/Tox21/30.png
31.0,Cc1cc(C2(c3cc(C)c(O)cc3C)OS(=O)(=O)c3ccccc32)c(C)cc1O,0.0,train,../data/images/Tox21/31.png
32.0,CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.0,train,../data/images/Tox21/32.png
33.0,COC(C)CCO,0.0,train,../data/images/Tox21/33.png
34.0,C1CCCNCC1,0.0,train,../data/images/Tox21/34.png
35.0,CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,0.0,train,../data/images/Tox21/35.png
36.0,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,0.0,train,../data/images/Tox21/36.png
37.0,CC(O)CNCC(C)O,0.0,train,../data/images/Tox21/37.png
