idx,smiles,ESOL,group,img_path
0.0,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,1.0499115411183633,train,../data/images/ESOL/0.png
1.0,C1CCOC1,1.6893734828124054,train,../data/images/ESOL/1.png
2.0,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-1.41726624885044,train,../data/images/ESOL/2.png
3.0,CCCCS,0.4152217034668142,train,../data/images/ESOL/3.png
4.0,Cc1ccc(C(C)C)cc1O,0.4629427438917427,train,../data/images/ESOL/4.png
5.0,CCCCCCCC,-1.045042133535998,train,../data/images/ESOL/5.png
6.0,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-1.6510993469325899,train,../data/images/ESOL/6.png
7.0,C=CCCCCCC,-0.66327381013657,train,../data/images/ESOL/7.png
8.0,C=CCc1ccc(O)c(OC)c1,0.7110921541013709,train,../data/images/ESOL/8.png
9.0,CC1CCCO1,1.508033529197677,train,../data/images/ESOL/9.png
10.0,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.2958217988646204,train,../data/images/ESOL/10.png
11.0,CCCCCCCCCCCCCCCCO,-1.8849324450147396,train,../data/images/ESOL/11.png
12.0,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-0.3029799549283597,train,../data/images/ESOL/12.png
13.0,Brc1ccccc1,0.2386538538945789,train,../data/images/ESOL/13.png
14.0,ClCCl,1.1548978300532062,train,../data/images/ESOL/14.png
15.0,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-1.2483337657461935,train,../data/images/ESOL/15.png
16.0,Nc1nc(O)nc2nc[nH]c12,-0.16745220012156264,train,../data/images/ESOL/16.png
17.0,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-0.6098262448606501,train,../data/images/ESOL/17.png
18.0,C1CCCCC1,-0.023811868442527993,train,../data/images/ESOL/18.png
19.0,CCC(C)C(C)=O,1.1358094138832346,train,../data/images/ESOL/19.png
