idx,smiles,BACE,group,img_path
0.0,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCC[C@H](C(C)(C)NC(C)=O)C1,-0.8123801347313062,train,../data/images/BACE/0.png
1.0,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N3CCCN=C32)cc1,0.38600554373064416,train,../data/images/BACE/1.png
2.0,CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)[NH+]=C(N)c4c(F)cccc43)c2)c1,1.55786938166854,train,../data/images/BACE/2.png
3.0,COc1cc(CC(NC(C)=O)C(O)C[NH2+]C2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)ccc1F,1.35978614572181,train,../data/images/BACE/3.png
4.0,CCNc1cc(C(=O)NC(Cc2ccccc2)C(O)C[NH2+]Cc2cncc(C#N)c2)cc(N2CCCCS2(=O)=O)c1,0.6527323248123719,train,../data/images/BACE/4.png
5.0,COCc1cc2cc(c1)C(=O)NC(C(O)C[NH2+]C(COC)c1cccc(C(C)(C)C)c1)Cc1cccc(c1)OCCCCN2,-0.25840120039253855,train,../data/images/BACE/5.png
6.0,CCC[C@H]1C(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C2CC2)=CN(CC(=O)OC(C)C)C=C1C(=O)N[C@H](C)c1ccccc1,-1.485336926751587,train,../data/images/BACE/6.png
7.0,CC([NH2+]CC(O)C(Cc1ccccc1)NC(=O)c1cccc(S(=O)(=O)N(C)Cc2ccccc2)c1)C(=O)NC1CCCCC1,-1.5907730090902799,train,../data/images/BACE/7.png
8.0,CCCN(CCC)C(=O)c1cccc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,0.7352214516484782,train,../data/images/BACE/8.png
9.0,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2ccc(CC(C)(C)C)s2)CC1,-0.5450973067902339,train,../data/images/BACE/9.png
10.0,COc1cccc(-c2cccc(C3(C)CC(=O)N(C)C(N)=N3)c2)c1,0.03475889485718673,train,../data/images/BACE/10.png
11.0,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2csc(Cl)c2)N=C1N,0.42841324510467593,train,../data/images/BACE/11.png
12.0,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(O)CC1,0.8180473959335578,train,../data/images/BACE/12.png
13.0,CC(=O)NC(Cc1ccc(F)cc1F)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1.240781983491738,train,../data/images/BACE/13.png
14.0,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4ccccc4)cc32)N=C1N,-0.1341325516281628,train,../data/images/BACE/14.png
15.0,COc1cccc(-c2cccc(CCc3cccc(N)n3)c2)c1,-1.430677639705426,train,../data/images/BACE/15.png
16.0,CC([NH2+]CC(O)C(Cc1ccccc1)NC(=O)c1cccc(N(c2ccc(Cl)cc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,1.101370037124956,train,../data/images/BACE/16.png
17.0,CCCN(CCC)C(=O)c1cc(CCO)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,1.101370037124956,train,../data/images/BACE/17.png
