idx,smiles,SIDER,group,img_path
0.0,COC(=O)C(c1ccccc1)C1CCCCN1,1.0,train,../data/images/SIDER/0.png
1.0,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0,train,../data/images/SIDER/1.png
2.0,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1,1.0,train,../data/images/SIDER/2.png
3.0,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl,0.0,train,../data/images/SIDER/3.png
4.0,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0.0,train,../data/images/SIDER/4.png
5.0,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,0.0,train,../data/images/SIDER/5.png
6.0,CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,0.0,train,../data/images/SIDER/6.png
7.0,CC1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC2(C)[C@@]1(O)C(=O)CCl,0.0,train,../data/images/SIDER/7.png
8.0,CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,0.0,train,../data/images/SIDER/8.png
9.0,COc1cc(NC(C)CCCN)c2ncccc2c1,0.0,train,../data/images/SIDER/9.png
10.0,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,1.0,train,../data/images/SIDER/10.png
11.0,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,0.0,train,../data/images/SIDER/11.png
12.0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1.0,train,../data/images/SIDER/12.png
13.0,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1.0,train,../data/images/SIDER/13.png
14.0,CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,1.0,train,../data/images/SIDER/14.png
15.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,1.0,train,../data/images/SIDER/15.png
16.0,OCCN1CC(O)C(O)C(O)C1CO,0.0,train,../data/images/SIDER/16.png
17.0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,1.0,train,../data/images/SIDER/17.png
18.0,CC(=O)NCCCS(=O)(=O)O,1.0,train,../data/images/SIDER/18.png
19.0,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,1.0,train,../data/images/SIDER/19.png
20.0,CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,1.0,train,../data/images/SIDER/20.png
21.0,O=C(O)CCCO,1.0,train,../data/images/SIDER/21.png
22.0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,1.0,train,../data/images/SIDER/22.png
23.0,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,0.0,train,../data/images/SIDER/23.png
24.0,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,0.0,train,../data/images/SIDER/24.png
25.0,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,0.0,train,../data/images/SIDER/25.png
26.0,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,0.0,train,../data/images/SIDER/26.png
27.0,CC/C=C/CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)CC)C(C)C)[C@@H](C)O)[C@@H](C)CC,0.0,train,../data/images/SIDER/27.png
28.0,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,0.0,train,../data/images/SIDER/28.png
